index	variable	value	percent
1	0	99	67.3469387755102
2	0	128	87.07482993197279
3	0	142	96.5986394557823
4	0	147	100.0
5	0	147	100.0
1	1	60	40.816326530612244
2	1	109	74.14965986394559
3	1	121	82.31292517006803
4	1	144	97.95918367346938
5	1	147	100.0
1	2	30	20.408163265306122
2	2	82	55.78231292517006
3	2	122	82.99319727891157
4	2	145	98.63945578231292
5	2	147	100.0
1	3	62	42.17687074829932
2	3	111	75.51020408163265
3	3	145	98.63945578231292
4	3	147	100.0
5	3	147	100.0
1	4	99	67.3469387755102
2	4	128	87.07482993197279
3	4	142	96.5986394557823
4	4	147	100.0
5	4	147	100.0
1	5	60	40.816326530612244
2	5	109	74.14965986394559
3	5	121	82.31292517006803
4	5	144	97.95918367346938
5	5	147	100.0
1	6	30	20.408163265306122
2	6	82	55.78231292517006
3	6	122	82.99319727891157
4	6	145	98.63945578231292
5	6	147	100.0
1	7	62	42.17687074829932
2	7	111	75.51020408163265
3	7	145	98.63945578231292
4	7	147	100.0
5	7	147	100.0
1	8	99	67.3469387755102
2	8	128	87.07482993197279
3	8	142	96.5986394557823
4	8	147	100.0
5	8	147	100.0
1	9	60	40.816326530612244
2	9	109	74.14965986394559
3	9	121	82.31292517006803
4	9	144	97.95918367346938
5	9	147	100.0
1	10	30	20.408163265306122
2	10	82	55.78231292517006
3	10	122	82.99319727891157
4	10	145	98.63945578231292
5	10	147	100.0
1	11	62	42.17687074829932
2	11	111	75.51020408163265
3	11	145	98.63945578231292
4	11	147	100.0
5	11	147	100.0
1	12	99	67.3469387755102
2	12	128	87.07482993197279
3	12	142	96.5986394557823
4	12	147	100.0
5	12	147	100.0
1	13	60	40.816326530612244
2	13	109	74.14965986394559
3	13	121	82.31292517006803
4	13	144	97.95918367346938
5	13	147	100.0
1	14	30	20.408163265306122
2	14	82	55.78231292517006
3	14	122	82.99319727891157
4	14	145	98.63945578231292
5	14	147	100.0
1	15	62	42.17687074829932
2	15	111	75.51020408163265
3	15	145	98.63945578231292
4	15	147	100.0
5	15	147	100.0
1	16	99	67.3469387755102
2	16	128	87.07482993197279
3	16	142	96.5986394557823
4	16	147	100.0
5	16	147	100.0
1	17	60	40.816326530612244
2	17	109	74.14965986394559
3	17	121	82.31292517006803
4	17	144	97.95918367346938
5	17	147	100.0
1	18	30	20.408163265306122
2	18	82	55.78231292517006
3	18	122	82.99319727891157
4	18	145	98.63945578231292
5	18	147	100.0
1	19	62	42.17687074829932
2	19	111	75.51020408163265
3	19	145	98.63945578231292
4	19	147	100.0
5	19	147	100.0
1	20	99	67.3469387755102
2	20	128	87.07482993197279
3	20	142	96.5986394557823
4	20	147	100.0
5	20	147	100.0
